timestamp,thread_id,thread_type,action,target_resource,resource_type,duration_ms,timeout_threshold
10,P1,WORKER,LOCK,R1,Mutex,null,null
20,P2,WORKER,LOCK,R2,Mutex,null,null
30,P3,WORKER,LOCK,R3,Mutex,null,null
40,P4,WORKER,LOCK,R4,Mutex,null,null
50,P5,WORKER,LOCK,R5,Mutex,null,null
60,P6,WORKER,LOCK,R6,Mutex,null,null
70,P7,WORKER,LOCK,R7,Mutex,null,null
80,P8,WORKER,LOCK,R8,Mutex,null,null
90,P9,WORKER,LOCK,R9,Mutex,null,null
100,P10,WORKER,LOCK,R10,Mutex,null,null
110,P11,WORKER,LOCK,R11,Mutex,null,null
120,P12,WORKER,LOCK,R12,Mutex,null,null
130,P13,WORKER,LOCK,R13,Mutex,null,null
140,P14,WORKER,LOCK,R14,Mutex,null,null
150,P15,WORKER,LOCK,R15,Mutex,null,null
160,P16,WORKER,LOCK,R16,Mutex,null,null
170,P17,WORKER,LOCK,R17,Mutex,null,null
180,P18,WORKER,LOCK,R18,Mutex,null,null
190,P19,WORKER,LOCK,R19,Mutex,null,null
200,P20,WORKER,LOCK,R20,Mutex,null,null
210,P21,WORKER,LOCK,R21,Mutex,null,null
220,P22,WORKER,LOCK,R22,Mutex,null,null
230,P23,WORKER,LOCK,R23,Mutex,null,null
240,P24,WORKER,LOCK,R24,Mutex,null,null
250,P25,WORKER,LOCK,R25,Mutex,null,null
260,P26,WORKER,LOCK,R26,Mutex,null,null
270,P27,WORKER,LOCK,R27,Mutex,null,null
280,P28,WORKER,LOCK,R28,Mutex,null,null
290,P29,WORKER,LOCK,R29,Mutex,null,null
300,P30,WORKER,LOCK,R30,Mutex,null,null
310,P31,WORKER,LOCK,R31,Mutex,null,null
320,P32,WORKER,LOCK,R32,Mutex,null,null
330,P33,WORKER,LOCK,R33,Mutex,null,null
340,P34,WORKER,LOCK,R34,Mutex,null,null
350,P35,WORKER,LOCK,R35,Mutex,null,null
360,P36,WORKER,LOCK,R36,Mutex,null,null
370,P37,WORKER,LOCK,R37,Mutex,null,null
380,P38,WORKER,LOCK,R38,Mutex,null,null
390,P39,WORKER,LOCK,R39,Mutex,null,null
400,P40,WORKER,LOCK,R40,Mutex,null,null
410,P41,WORKER,LOCK,R41,Mutex,null,null
420,P42,WORKER,LOCK,R42,Mutex,null,null
430,P43,WORKER,LOCK,R43,Mutex,null,null
440,P44,WORKER,LOCK,R44,Mutex,null,null
450,P45,WORKER,LOCK,R45,Mutex,null,null
460,P46,WORKER,LOCK,R46,Mutex,null,null
470,P47,WORKER,LOCK,R47,Mutex,null,null
480,P48,WORKER,LOCK,R48,Mutex,null,null
490,P49,WORKER,LOCK,R49,Mutex,null,null
500,P50,WORKER,LOCK,R50,Mutex,null,null
510,P51,WORKER,LOCK,R51,Mutex,null,null
520,P52,WORKER,LOCK,R52,Mutex,null,null
530,P53,WORKER,LOCK,R53,Mutex,null,null
540,P54,WORKER,LOCK,R54,Mutex,null,null
550,P55,WORKER,LOCK,R55,Mutex,null,null
560,P56,WORKER,LOCK,R56,Mutex,null,null
570,P57,WORKER,LOCK,R57,Mutex,null,null
580,P58,WORKER,LOCK,R58,Mutex,null,null
590,P59,WORKER,LOCK,R59,Mutex,null,null
600,P60,WORKER,LOCK,R60,Mutex,null,null
610,P61,WORKER,LOCK,R61,Mutex,null,null
620,P62,WORKER,LOCK,R62,Mutex,null,null
630,P63,WORKER,LOCK,R63,Mutex,null,null
640,P64,WORKER,LOCK,R64,Mutex,null,null
650,P65,WORKER,LOCK,R65,Mutex,null,null
660,P66,WORKER,LOCK,R66,Mutex,null,null
670,P67,WORKER,LOCK,R67,Mutex,null,null
680,P68,WORKER,LOCK,R68,Mutex,null,null
690,P69,WORKER,LOCK,R69,Mutex,null,null
700,P70,WORKER,LOCK,R70,Mutex,null,null
710,P71,WORKER,LOCK,R71,Mutex,null,null
720,P72,WORKER,LOCK,R72,Mutex,null,null
730,P73,WORKER,LOCK,R73,Mutex,null,null
740,P74,WORKER,LOCK,R74,Mutex,null,null
750,P75,WORKER,LOCK,R75,Mutex,null,null
760,P76,WORKER,LOCK,R76,Mutex,null,null
770,P77,WORKER,LOCK,R77,Mutex,null,null
780,P78,WORKER,LOCK,R78,Mutex,null,null
790,P79,WORKER,LOCK,R79,Mutex,null,null
800,P80,WORKER,LOCK,R80,Mutex,null,null
810,P81,WORKER,LOCK,R81,Mutex,null,null
820,P82,WORKER,LOCK,R82,Mutex,null,null
830,P83,WORKER,LOCK,R83,Mutex,null,null
840,P84,WORKER,LOCK,R84,Mutex,null,null
850,P85,WORKER,LOCK,R85,Mutex,null,null
860,P86,WORKER,LOCK,R86,Mutex,null,null
870,P87,WORKER,LOCK,R87,Mutex,null,null
