timestamp,thread_id,thread_type,action,target_resource,resource_type,duration_ms,timeout_threshold
2,P3,WORKER,LOCK,R47,Message_Queue,20,null
4,P16,WORKER,LOCK,R34,Message_Queue,20,null
6,P3,WORKER,LOCK,R40,Message_Queue,20,null
8,P9,WORKER,LOCK,R32,Message_Queue,20,null
10,P11,WORKER,LOCK,R9,Message_Queue,20,null
12,P12,WORKER,LOCK,R38,Message_Queue,20,null
14,P19,WORKER,LOCK,R1,Message_Queue,20,null
16,P6,WORKER,LOCK,R32,Message_Queue,20,null
18,P20,WORKER,LOCK,R18,Message_Queue,20,null
20,P2,WORKER,LOCK,R35,Message_Queue,20,null
22,P18,WORKER,LOCK,R40,Message_Queue,20,null
24,P16,WORKER,LOCK,R11,Message_Queue,20,null
26,P14,WORKER,LOCK,R46,Message_Queue,20,null
28,P7,WORKER,LOCK,R25,Message_Queue,20,null
30,P16,WORKER,LOCK,R5,Message_Queue,20,null
32,P8,WORKER,LOCK,R49,Message_Queue,20,null
34,P20,WORKER,LOCK,R1,Message_Queue,20,null
36,P4,WORKER,LOCK,R4,Message_Queue,20,null
38,P2,WORKER,LOCK,R44,Message_Queue,20,null
40,P2,WORKER,LOCK,R30,Message_Queue,20,null
42,P3,WORKER,LOCK,R1,Message_Queue,20,null
44,P17,WORKER,LOCK,R18,Message_Queue,20,null
46,P1,WORKER,LOCK,R11,Message_Queue,20,null
48,P1,WORKER,LOCK,R19,Message_Queue,20,null
50,P8,WORKER,LOCK,R44,Message_Queue,20,null
52,P4,WORKER,LOCK,R19,Message_Queue,20,null
54,P9,WORKER,LOCK,R25,Message_Queue,20,null
56,P17,WORKER,LOCK,R13,Message_Queue,20,null
58,P3,WORKER,LOCK,R30,Message_Queue,20,null
60,P19,WORKER,LOCK,R46,Message_Queue,20,null
62,P8,WORKER,LOCK,R21,Message_Queue,20,null
64,P16,WORKER,LOCK,R19,Message_Queue,20,null
66,P9,WORKER,LOCK,R42,Message_Queue,20,null
68,P9,WORKER,LOCK,R1,Message_Queue,20,null
70,P15,WORKER,LOCK,R39,Message_Queue,20,null
72,P13,WORKER,LOCK,R50,Message_Queue,20,null
74,P14,WORKER,LOCK,R18,Message_Queue,20,null
76,P8,WORKER,LOCK,R45,Message_Queue,20,null
78,P18,WORKER,LOCK,R47,Message_Queue,20,null
80,P19,WORKER,LOCK,R48,Message_Queue,20,null
82,P13,WORKER,LOCK,R40,Message_Queue,20,null
84,P16,WORKER,LOCK,R39,Message_Queue,20,null
86,P19,WORKER,LOCK,R8,Message_Queue,20,null
88,P12,WORKER,LOCK,R27,Message_Queue,20,null
90,P19,WORKER,LOCK,R28,Message_Queue,20,null
92,P4,WORKER,LOCK,R41,Message_Queue,20,null
94,P15,WORKER,LOCK,R45,Message_Queue,20,null
96,P16,WORKER,LOCK,R18,Message_Queue,20,null
98,P19,WORKER,LOCK,R13,Message_Queue,20,null
100,P20,WORKER,LOCK,R5,Message_Queue,20,null
102,P6,WORKER,LOCK,R41,Message_Queue,20,null
104,P8,WORKER,LOCK,R1,Message_Queue,20,null
106,P6,WORKER,LOCK,R17,Message_Queue,20,null
