timestamp,thread_id,thread_type,action,target_resource,resource_type,duration_ms,timeout_threshold
0,P1,WORKER,LOCK,R1,Mutex,null,null
10,P2,WORKER,LOCK,R2,Mutex,null,null
20,P3,WORKER,LOCK,R3,Mutex,null,null
30,P4,WORKER,LOCK,R4,Mutex,null,null
40,P5,WORKER,LOCK,R5,Mutex,null,null
50,P1,WORKER,LOCK,R2,Mutex,null,null
60,P2,WORKER,LOCK,R3,Mutex,null,null
70,P3,WORKER,LOCK,R4,Mutex,null,null
80,P4,WORKER,LOCK,R5,Mutex,null,null
90,P5,WORKER,LOCK,R1,Mutex,null,null
100,P2,WORKER,LOCK,R16,Mutex,null,null
104,P38,WORKER,LOCK,R3,Mutex,null,null
111,P33,UI,LOCK,R36,Mutex,50,5000
119,P38,WORKER,LOCK,R52,Mutex,500,null
133,P18,UI,LOCK,R14,Message_Queue,100,null
136,P7,WORKER,LOCK,R55,Message_Queue,500,5000
138,P35,UI,LOCK,R60,Message_Queue,500,null
156,P41,WORKER,LOCK,R37,Mutex,100,null
158,P50,WORKER,LOCK,R6,Mutex,50,null
171,P30,WORKER,LOCK,R11,Message_Queue,100,5000
178,P45,UI,LOCK,R39,Mutex,100,null
184,P25,WORKER,LOCK,R60,Mutex,500,5000
186,P3,WORKER,LOCK,R26,Message_Queue,50,null
193,P14,WORKER,LOCK,R26,Message_Queue,100,null
202,P16,WORKER,LOCK,R48,Message_Queue,50,5000
214,P9,WORKER,LOCK,R6,Mutex,50,null
219,P44,WORKER,LOCK,R39,Mutex,50,5000
232,P34,WORKER,LOCK,R36,Mutex,500,null
250,P50,WORKER,LOCK,R8,Message_Queue,100,5000
256,P1,WORKER,LOCK,R33,Mutex,500,null
266,P10,WORKER,LOCK,R49,Mutex,50,null
286,P32,UI,LOCK,R8,Message_Queue,100,5000
294,P16,UI,LOCK,R6,Message_Queue,null,null
312,P9,WORKER,LOCK,R36,Mutex,50,5000
329,P14,UI,LOCK,R46,Message_Queue,500,5000
341,P34,WORKER,LOCK,R8,Mutex,500,null
344,P2,UI,LOCK,R38,Mutex,100,null
347,P15,UI,LOCK,R58,Mutex,null,5000
350,P18,WORKER,LOCK,R14,Mutex,50,5000
358,P27,UI,LOCK,R7,Mutex,500,5000
370,P27,WORKER,LOCK,R56,Mutex,500,null
372,P47,WORKER,LOCK,R52,Mutex,500,null
379,P35,WORKER,LOCK,R9,Message_Queue,50,null
388,P16,UI,LOCK,R29,Mutex,500,null
406,P6,UI,LOCK,R11,Message_Queue,null,5000
422,P26,UI,LOCK,R11,Message_Queue,50,null
435,P30,WORKER,LOCK,R28,Message_Queue,100,null
442,P14,UI,LOCK,R38,Mutex,100,5000
444,P38,WORKER,LOCK,R33,Mutex,null,null
461,P12,UI,LOCK,R39,Mutex,null,null
474,P37,UI,LOCK,R38,Mutex,null,null
488,P17,UI,LOCK,R43,Message_Queue,100,null
497,P9,WORKER,LOCK,R30,Message_Queue,500,null
498,P40,UI,LOCK,R5,Mutex,500,5000
503,P5,UI,LOCK,R24,Message_Queue,100,null
518,P40,UI,LOCK,R43,Message_Queue,100,null
523,P8,UI,LOCK,R48,Mutex,100,5000
533,P46,WORKER,LOCK,R14,Message_Queue,50,5000
542,P6,WORKER,LOCK,R54,Message_Queue,null,null
543,P50,UI,LOCK,R41,Message_Queue,100,null
558,P36,UI,LOCK,R8,Mutex,500,null
576,P24,UI,LOCK,R28,Mutex,null,null
586,P3,WORKER,LOCK,R14,Mutex,100,null
598,P40,UI,LOCK,R60,Mutex,500,null
604,P2,UI,LOCK,R48,Message_Queue,500,5000
612,P11,UI,LOCK,R25,Mutex,100,5000
620,P30,WORKER,LOCK,R20,Mutex,50,null
621,P26,WORKER,LOCK,R18,Mutex,50,5000
633,P44,WORKER,LOCK,R2,Mutex,500,5000
639,P3,UI,LOCK,R39,Message_Queue,100,5000
650,P39,UI,LOCK,R25,Mutex,500,5000
652,P1,UI,LOCK,R24,Message_Queue,500,null
663,P43,UI,LOCK,R47,Message_Queue,100,5000
677,P26,WORKER,LOCK,R36,Mutex,100,null
691,P44,UI,LOCK,R40,Message_Queue,500,5000
709,P20,WORKER,LOCK,R14,Message_Queue,null,5000
724,P29,UI,LOCK,R33,Message_Queue,500,null
727,P33,WORKER,LOCK,R6,Mutex,100,5000
735,P10,UI,LOCK,R3,Mutex,50,5000
755,P30,WORKER,LOCK,R57,Mutex,null,5000
771,P16,UI,LOCK,R42,Mutex,500,null
785,P12,WORKER,LOCK,R4,Mutex,50,null
800,P30,WORKER,LOCK,R49,Message_Queue,50,5000
818,P11,WORKER,LOCK,R29,Message_Queue,500,null
827,P41,UI,LOCK,R18,Message_Queue,500,null
837,P18,WORKER,LOCK,R21,Mutex,50,null
842,P25,UI,LOCK,R46,Mutex,50,null
856,P22,WORKER,LOCK,R27,Mutex,500,null
870,P50,UI,LOCK,R55,Message_Queue,500,5000
871,P20,WORKER,LOCK,R55,Message_Queue,100,null
887,P18,WORKER,LOCK,R32,Mutex,50,5000
898,P47,UI,LOCK,R54,Message_Queue,500,null
918,P26,UI,LOCK,R6,Message_Queue,null,null
933,P4,WORKER,LOCK,R25,Message_Queue,50,null
948,P22,WORKER,LOCK,R18,Message_Queue,100,5000
951,P2,UI,LOCK,R23,Mutex,500,null
953,P16,UI,LOCK,R54,Mutex,null,null
961,P31,UI,LOCK,R37,Mutex,50,5000
970,P11,UI,LOCK,R50,Mutex,100,5000
974,P20,WORKER,LOCK,R26,Mutex,null,null
993,P7,WORKER,LOCK,R55,Mutex,50,null
1005,P43,WORKER,LOCK,R5,Message_Queue,500,null
1019,P7,WORKER,LOCK,R24,Message_Queue,500,null
1033,P47,WORKER,LOCK,R40,Message_Queue,50,5000
1047,P21,UI,LOCK,R54,Mutex,100,5000
1062,P49,WORKER,LOCK,R37,Message_Queue,50,5000
1063,P21,UI,LOCK,R32,Mutex,500,5000
1072,P18,WORKER,LOCK,R36,Mutex,100,null
1075,P47,WORKER,LOCK,R32,Mutex,50,5000
1091,P2,UI,LOCK,R19,Mutex,500,5000
1099,P43,WORKER,LOCK,R31,Message_Queue,100,5000
1117,P23,WORKER,LOCK,R18,Message_Queue,100,5000
1125,P47,UI,LOCK,R21,Mutex,null,null
1132,P48,WORKER,LOCK,R18,Message_Queue,50,null
1139,P15,WORKER,LOCK,R12,Message_Queue,100,null
1157,P18,UI,LOCK,R4,Message_Queue,50,null
1173,P1,WORKER,LOCK,R31,Message_Queue,null,5000
1184,P4,WORKER,LOCK,R56,Message_Queue,50,null
1187,P32,UI,LOCK,R37,Mutex,500,null
1192,P6,UI,LOCK,R8,Message_Queue,100,null
1209,P29,WORKER,LOCK,R20,Message_Queue,500,5000
1228,P40,UI,LOCK,R49,Mutex,null,null
1237,P11,UI,LOCK,R12,Mutex,null,null
1238,P29,WORKER,LOCK,R19,Mutex,500,null
1248,P45,WORKER,LOCK,R5,Mutex,100,5000
1267,P28,UI,LOCK,R35,Mutex,50,null
1276,P5,UI,LOCK,R11,Message_Queue,50,5000
1291,P30,WORKER,LOCK,R45,Message_Queue,null,5000
1308,P29,UI,LOCK,R39,Mutex,500,5000
1319,P2,UI,LOCK,R15,Mutex,100,5000
1338,P49,UI,LOCK,R31,Message_Queue,null,5000
1344,P41,WORKER,LOCK,R6,Message_Queue,500,5000
1358,P21,UI,LOCK,R55,Mutex,100,5000
1372,P19,WORKER,LOCK,R53,Mutex,500,5000
1375,P17,WORKER,LOCK,R8,Message_Queue,100,null
1393,P27,UI,LOCK,R13,Message_Queue,500,5000
1408,P14,WORKER,LOCK,R36,Mutex,null,5000
1423,P8,UI,LOCK,R41,Mutex,500,null
1433,P36,WORKER,LOCK,R6,Mutex,null,null
1448,P42,UI,LOCK,R32,Message_Queue,null,5000
1462,P31,UI,LOCK,R30,Mutex,500,5000
1469,P5,WORKER,LOCK,R50,Message_Queue,50,5000
1486,P1,WORKER,LOCK,R47,Message_Queue,100,5000
1491,P35,WORKER,LOCK,R23,Message_Queue,500,5000
1506,P13,UI,LOCK,R37,Message_Queue,100,null
1520,P21,WORKER,LOCK,R46,Message_Queue,null,5000
1525,P3,UI,LOCK,R33,Message_Queue,500,null
1540,P34,WORKER,LOCK,R1,Mutex,null,5000
1545,P31,WORKER,LOCK,R22,Message_Queue,null,null
1556,P21,WORKER,LOCK,R56,Mutex,500,null
1564,P15,UI,LOCK,R28,Mutex,100,null
1579,P45,WORKER,LOCK,R58,Mutex,50,null
1590,P19,WORKER,LOCK,R24,Message_Queue,null,null
1598,P37,UI,LOCK,R11,Mutex,500,null
1618,P40,UI,LOCK,R32,Mutex,500,null
1633,P30,WORKER,LOCK,R43,Mutex,100,5000
1643,P5,WORKER,LOCK,R23,Message_Queue,50,5000
1652,P20,UI,LOCK,R25,Message_Queue,500,null
1660,P37,WORKER,LOCK,R37,Message_Queue,500,5000
1661,P18,UI,LOCK,R37,Mutex,500,5000
1671,P39,WORKER,LOCK,R15,Mutex,50,5000
1676,P41,UI,LOCK,R20,Message_Queue,null,null
1695,P47,UI,LOCK,R6,Message_Queue,100,5000
1709,P13,UI,LOCK,R51,Message_Queue,50,5000
1715,P31,WORKER,LOCK,R48,Message_Queue,100,null
1730,P10,UI,LOCK,R56,Message_Queue,null,5000
1733,P1,WORKER,LOCK,R35,Mutex,500,5000
1745,P38,WORKER,LOCK,R53,Message_Queue,100,null
1753,P2,WORKER,LOCK,R59,Mutex,500,null
1768,P42,WORKER,LOCK,R8,Mutex,100,null
1770,P32,UI,LOCK,R7,Mutex,100,null
1783,P24,WORKER,LOCK,R38,Mutex,500,5000
1787,P40,WORKER,LOCK,R18,Mutex,500,5000
1794,P29,UI,LOCK,R55,Message_Queue,500,null
1806,P4,WORKER,LOCK,R18,Mutex,100,null
1821,P43,UI,LOCK,R42,Mutex,null,null
1832,P9,UI,LOCK,R5,Mutex,50,null
1840,P50,UI,LOCK,R51,Mutex,100,5000
1845,P35,WORKER,LOCK,R52,Mutex,50,null
1846,P1,WORKER,LOCK,R51,Mutex,50,5000
1847,P17,UI,LOCK,R9,Message_Queue,50,null
1850,P29,WORKER,LOCK,R33,Mutex,500,5000
1867,P40,UI,LOCK,R47,Message_Queue,50,5000
1868,P31,WORKER,LOCK,R28,Mutex,null,5000
1883,P6,WORKER,LOCK,R39,Mutex,null,null
1888,P40,WORKER,LOCK,R25,Message_Queue,100,5000
1905,P7,UI,LOCK,R55,Mutex,500,5000
1920,P27,WORKER,LOCK,R53,Message_Queue,50,5000
1934,P21,WORKER,LOCK,R21,Message_Queue,null,5000
1939,P5,UI,LOCK,R54,Mutex,500,null
1953,P48,WORKER,LOCK,R52,Mutex,null,null
1972,P43,UI,LOCK,R27,Message_Queue,100,5000
1974,P39,WORKER,LOCK,R23,Mutex,100,null
1979,P15,UI,LOCK,R23,Message_Queue,500,null
1988,P28,UI,LOCK,R39,Message_Queue,50,null
1994,P45,WORKER,LOCK,R59,Message_Queue,100,5000
1995,P10,WORKER,LOCK,R5,Mutex,50,null
1998,P25,WORKER,LOCK,R30,Message_Queue,50,null
2010,P47,WORKER,LOCK,R50,Mutex,100,null
2015,P49,UI,LOCK,R44,Mutex,50,5000
2030,P32,WORKER,LOCK,R27,Message_Queue,500,null
2047,P23,WORKER,LOCK,R8,Message_Queue,null,5000
2064,P3,UI,LOCK,R26,Mutex,100,null
2071,P14,UI,LOCK,R49,Message_Queue,100,5000
2082,P1,WORKER,LOCK,R48,Message_Queue,null,null
2087,P35,UI,LOCK,R33,Message_Queue,500,null
2100,P28,UI,LOCK,R30,Mutex,null,5000
2119,P37,WORKER,LOCK,R46,Message_Queue,500,5000
2123,P2,WORKER,LOCK,R11,Message_Queue,500,5000
2126,P7,UI,LOCK,R28,Message_Queue,500,null
2139,P48,WORKER,LOCK,R15,Message_Queue,100,null
2142,P34,UI,LOCK,R58,Message_Queue,null,5000
2147,P7,UI,LOCK,R17,Mutex,50,null
2167,P49,UI,LOCK,R12,Message_Queue,50,5000
2186,P44,WORKER,LOCK,R56,Message_Queue,500,null
2201,P31,WORKER,LOCK,R41,Message_Queue,null,5000
2220,P23,UI,LOCK,R20,Message_Queue,null,5000
2222,P24,WORKER,LOCK,R5,Mutex,null,5000
2237,P29,UI,LOCK,R21,Message_Queue,null,null
2239,P7,WORKER,LOCK,R46,Mutex,500,null
2241,P46,WORKER,LOCK,R29,Mutex,50,5000
2253,P25,WORKER,LOCK,R50,Message_Queue,100,null
2264,P22,UI,LOCK,R36,Message_Queue,null,5000
2273,P22,UI,LOCK,R38,Mutex,50,5000
2283,P9,UI,LOCK,R20,Message_Queue,500,5000
2288,P42,WORKER,LOCK,R33,Message_Queue,null,null
2300,P12,UI,LOCK,R22,Message_Queue,100,null
2308,P10,UI,LOCK,R19,Mutex,50,null
2319,P39,WORKER,LOCK,R10,Mutex,50,null
2339,P47,WORKER,LOCK,R3,Message_Queue,50,5000
2347,P40,WORKER,LOCK,R49,Message_Queue,500,null
2365,P20,WORKER,LOCK,R58,Mutex,50,5000
2384,P30,WORKER,LOCK,R50,Message_Queue,500,5000
2390,P39,UI,LOCK,R56,Message_Queue,50,null
2406,P36,UI,LOCK,R46,Mutex,100,5000
2409,P18,WORKER,LOCK,R58,Mutex,50,5000
2412,P29,WORKER,LOCK,R60,Mutex,50,5000
2414,P33,WORKER,LOCK,R16,Message_Queue,500,null
2426,P2,WORKER,LOCK,R60,Mutex,50,5000
2431,P3,WORKER,LOCK,R59,Message_Queue,50,null
2447,P40,UI,LOCK,R58,Mutex,500,null
2456,P10,WORKER,LOCK,R8,Message_Queue,50,null
2466,P4,UI,LOCK,R27,Message_Queue,null,null
2470,P39,UI,LOCK,R41,Mutex,500,null
2480,P1,WORKER,LOCK,R16,Message_Queue,500,null
2483,P5,UI,LOCK,R25,Message_Queue,100,null
2496,P17,UI,LOCK,R23,Mutex,100,5000
2504,P50,WORKER,LOCK,R9,Mutex,null,5000
2522,P42,UI,LOCK,R54,Message_Queue,100,5000
2528,P5,WORKER,LOCK,R3,Message_Queue,50,null
2530,P3,WORKER,LOCK,R60,Message_Queue,50,5000
2548,P17,UI,LOCK,R49,Mutex,500,5000
2560,P42,WORKER,LOCK,R18,Mutex,null,5000
2574,P48,WORKER,LOCK,R58,Message_Queue,500,5000
2580,P45,WORKER,LOCK,R24,Message_Queue,500,null
2594,P28,UI,LOCK,R35,Message_Queue,null,5000
2598,P21,WORKER,LOCK,R20,Message_Queue,null,5000
2604,P23,WORKER,LOCK,R3,Message_Queue,500,5000
2613,P5,WORKER,LOCK,R24,Mutex,null,null
2618,P3,UI,LOCK,R5,Mutex,500,5000
2630,P37,UI,LOCK,R39,Mutex,500,5000
2642,P29,UI,LOCK,R37,Mutex,100,5000
2655,P42,WORKER,LOCK,R16,Mutex,100,null
2661,P34,WORKER,LOCK,R59,Mutex,500,5000
2670,P14,WORKER,LOCK,R45,Message_Queue,500,null
2674,P5,WORKER,LOCK,R12,Message_Queue,50,null
2685,P46,UI,LOCK,R36,Message_Queue,100,5000
2691,P24,UI,LOCK,R8,Mutex,50,null
2699,P2,WORKER,LOCK,R36,Message_Queue,500,5000
2717,P40,UI,LOCK,R5,Message_Queue,50,5000
2733,P50,WORKER,LOCK,R53,Mutex,500,null
2744,P29,WORKER,LOCK,R44,Message_Queue,null,null
2762,P50,UI,LOCK,R28,Mutex,50,null
2779,P20,UI,LOCK,R11,Message_Queue,50,null
2791,P6,WORKER,LOCK,R13,Message_Queue,100,null
2801,P33,UI,LOCK,R38,Mutex,null,null
2821,P37,UI,LOCK,R53,Mutex,100,null
2823,P42,UI,LOCK,R50,Message_Queue,100,null
2839,P42,WORKER,LOCK,R31,Mutex,100,5000
2849,P5,UI,LOCK,R11,Message_Queue,500,5000
2865,P14,WORKER,LOCK,R39,Mutex,500,5000
2876,P26,UI,LOCK,R49,Message_Queue,100,null
2887,P30,UI,LOCK,R18,Message_Queue,50,null
2892,P4,WORKER,LOCK,R25,Message_Queue,null,null
2898,P37,WORKER,LOCK,R13,Mutex,100,5000
2915,P32,WORKER,LOCK,R32,Mutex,500,null
2928,P16,UI,LOCK,R38,Message_Queue,500,null
2930,P32,WORKER,LOCK,R19,Mutex,100,null
2944,P17,WORKER,LOCK,R49,Message_Queue,50,5000
2946,P4,UI,LOCK,R24,Message_Queue,500,null
2959,P49,WORKER,LOCK,R53,Mutex,500,null
2963,P24,WORKER,LOCK,R36,Message_Queue,500,null
2970,P33,UI,LOCK,R3,Mutex,500,null
2981,P34,WORKER,LOCK,R10,Mutex,500,5000
3001,P11,WORKER,LOCK,R40,Message_Queue,100,5000
3018,P46,WORKER,LOCK,R31,Mutex,500,5000
3029,P27,WORKER,LOCK,R51,Mutex,null,5000
3038,P47,UI,LOCK,R38,Message_Queue,50,null
3055,P10,UI,LOCK,R3,Mutex,500,null
3056,P21,WORKER,LOCK,R10,Message_Queue,500,null
3070,P48,UI,LOCK,R46,Mutex,500,null
3088,P43,WORKER,LOCK,R34,Message_Queue,100,5000
3094,P35,WORKER,LOCK,R35,Message_Queue,500,5000
3114,P13,UI,LOCK,R18,Message_Queue,500,null
3124,P46,UI,LOCK,R45,Message_Queue,100,5000
3140,P36,WORKER,LOCK,R19,Mutex,100,5000
3153,P50,UI,LOCK,R19,Mutex,100,5000
3156,P29,WORKER,LOCK,R48,Message_Queue,100,null
3163,P36,WORKER,LOCK,R9,Mutex,100,null
3171,P43,UI,LOCK,R41,Mutex,null,null
