time,process_id,action,resource_id
0,P12,request,R12
1,P5,request,R5
2,P18,request,R18
3,P22,request,R22
4,P17,request,R17
5,P10,request,R10
6,P20,request,R20
7,P7,request,R7
8,P3,request,R3
9,P13,request,R13
10,P2,request,R2
11,P9,request,R9
12,P1,request,R1
13,P21,request,R21
14,P15,request,R15
15,P24,request,R24
16,P4,request,R4
17,P16,request,R16
18,P6,request,R6
19,P23,request,R23
20,P14,request,R14
21,P11,request,R11
22,P25,request,R25
23,P8,request,R8
24,P19,request,R19
25,P15,request,R9
26,P9,request,R14
27,P14,request,R21
28,P21,request,R10
29,P10,request,R19
30,P21,request,R23
31,P14,request,R25
32,P17,request,R19
33,P21,request,R25
34,P11,request,R13
35,P1,request,R12
36,P15,request,R18
37,P8,request,R18
38,P1,request,R24
39,P10,request,R20
40,P1,request,R18
41,P6,request,R19
42,P9,request,R11
43,P2,request,R8
44,P2,request,R18
45,P17,request,R20
46,P17,request,R26
47,P19,request,R27
48,P10,request,R15
49,P15,request,R28
50,P22,request,R29
51,P11,request,R30
52,P1,request,R31
53,P10,request,R32
54,P20,request,R33
55,P13,request,R34
56,P3,request,R35
57,P13,request,R36
58,P5,request,R37
59,P9,request,R38
60,P11,request,R39
61,P1,request,R40
62,P20,request,R41
