time,process_id,action,resource_id
0,P22,request,R22
1,P26,request,R26
2,P25,request,R25
3,P12,request,R12
4,P4,request,R4
5,P15,request,R15
6,P11,request,R11
7,P1,request,R1
8,P16,request,R16
9,P21,request,R21
10,P5,request,R5
11,P28,request,R28
12,P10,request,R10
13,P18,request,R18
14,P27,request,R27
15,P14,request,R14
16,P6,request,R6
17,P13,request,R13
18,P17,request,R17
19,P23,request,R23
20,P9,request,R9
21,P20,request,R20
22,P19,request,R19
23,P3,request,R3
24,P7,request,R7
25,P24,request,R24
26,P8,request,R8
27,P2,request,R2
28,P26,request,R28
29,P14,request,R17
30,P21,request,R27
31,P1,request,R10
32,P16,request,R25
33,P12,request,R16
34,P6,request,R20
35,P14,request,R23
36,P2,request,R9
37,P3,request,R17
38,P7,request,R19
39,P11,request,R13
40,P15,request,R22
41,P9,request,R15
42,P11,request,R14
43,P12,request,R27
44,P1,request,R17
45,P7,request,R18
46,P1,request,R2
47,P11,request,R15
48,P4,request,R16
49,P7,request,R9
50,P8,request,R21
51,P4,request,R19
52,P9,request,R20
53,P2,request,R11
54,P17,request,R21
55,P19,request,R28
56,P16,request,R24
57,P22,request,R27
58,P21,request,R25
59,P4,request,R9
60,P27,request,R4
61,P12,request,R29
62,P15,request,R30
63,P1,request,R31
64,P3,request,R32
65,P26,request,R33
66,P23,request,R34
67,P18,request,R35
68,P19,request,R36
69,P3,request,R37
70,P18,request,R38
71,P11,request,R39
72,P23,request,R40
73,P5,request,R41
74,P19,request,R42
75,P26,request,R43
76,P28,request,R44
77,P24,request,R45
