time,process_id,action,resource_id
0,P5,request,R5
1,P3,request,R3
2,P9,request,R9
3,P1,request,R1
4,P10,request,R10
5,P6,request,R6
6,P2,request,R2
7,P4,request,R4
8,P12,request,R12
9,P8,request,R8
10,P11,request,R11
11,P7,request,R7
12,P6,request,R7
13,P4,request,R10
14,P5,request,R8
15,P2,request,R5
16,P5,request,R7
17,P5,request,R6
18,P1,request,R12
19,P2,request,R7
20,P8,request,R11
21,P7,request,R11
22,P2,request,R12
23,P7,request,R12
24,P5,request,R12
25,P4,request,R12
26,P11,request,R2
27,P11,request,R13
28,P9,request,R14
29,P7,request,R15
30,P10,request,R16
31,P6,request,R17
32,P2,request,R18
33,P5,request,R19
34,P12,request,R20
35,P3,request,R21
36,P5,request,R22
37,P10,request,R23
