time,process_id,action,resource_id
0,P8,request,R8
1,P14,request,R14
2,P12,request,R12
3,P5,request,R5
4,P11,request,R11
5,P2,request,R2
6,P4,request,R4
7,P9,request,R9
8,P6,request,R6
9,P1,request,R1
10,P10,request,R10
11,P7,request,R7
12,P13,request,R13
13,P3,request,R3
14,P9,request,R5
15,P5,request,R1
16,P1,request,R11
17,P11,request,R6
18,P2,request,R12
19,P6,request,R10
20,P5,request,R14
21,P4,request,R13
22,P11,request,R10
23,P7,request,R8
24,P8,request,R10
25,P2,request,R10
26,P6,request,R7
27,P4,request,R8
28,P11,request,R12
29,P13,request,R15
30,P13,request,R16
31,P8,request,R17
32,P5,request,R18
33,P9,request,R19
34,P10,request,R20
35,P5,request,R21
36,P6,request,R9
37,P10,request,R22
38,P13,request,R23
39,P13,request,R24
40,P13,request,R25
41,P14,request,R26
42,P9,request,R27
43,P14,request,R28
44,P6,request,R29
45,P2,request,R30
46,P7,request,R31
47,P14,request,R32
48,P5,request,R33
