time,process_id,action,resource_id
0,P42,request,R42
1,P31,request,R31
2,P2,request,R2
3,P6,request,R6
4,P39,request,R39
5,P38,request,R38
6,P12,request,R12
7,P30,request,R30
8,P29,request,R29
9,P44,request,R44
10,P11,request,R11
11,P19,request,R19
12,P21,request,R21
13,P32,request,R32
14,P7,request,R7
15,P4,request,R4
16,P24,request,R24
17,P40,request,R40
18,P10,request,R10
19,P22,request,R22
20,P43,request,R43
21,P36,request,R36
22,P41,request,R41
23,P17,request,R17
24,P45,request,R45
25,P15,request,R15
26,P9,request,R9
27,P35,request,R35
28,P28,request,R28
29,P23,request,R23
30,P37,request,R37
31,P33,request,R33
32,P26,request,R26
33,P20,request,R20
34,P27,request,R27
35,P1,request,R1
36,P5,request,R5
37,P8,request,R8
38,P13,request,R13
39,P18,request,R18
40,P14,request,R14
41,P3,request,R3
42,P25,request,R25
43,P16,request,R16
44,P34,request,R34
45,P27,request,R11
46,P11,request,R35
47,P35,request,R36
48,P36,request,R2
49,P2,request,R23
50,P10,request,R30
51,P4,request,R13
52,P10,request,R20
53,P36,request,R33
54,P24,request,R28
55,P4,request,R16
56,P3,request,R5
57,P35,request,R29
58,P36,request,R25
59,P35,request,R41
60,P7,request,R19
61,P1,request,R24
62,P11,request,R1
63,P18,request,R29
64,P25,request,R40
65,P6,request,R39
66,P8,request,R10
67,P18,request,R20
68,P42,request,R43
69,P18,request,R40
70,P23,request,R4
71,P2,request,R3
72,P13,request,R30
73,P13,request,R37
74,P23,request,R8
75,P16,request,R29
76,P9,request,R46
77,P22,request,R47
78,P19,request,R48
79,P34,request,R49
80,P32,request,R50
81,P11,request,R51
82,P23,request,R27
83,P20,request,R52
84,P44,request,R53
85,P23,request,R54
86,P11,request,R55
87,P4,request,R56
88,P12,request,R57
89,P26,request,R58
90,P20,request,R59
91,P28,request,R60
92,P12,request,R61
93,P38,request,R62
94,P25,request,R63
95,P12,request,R64
96,P6,request,R65
97,P28,request,R66
98,P44,request,R67
