dataset_group,dataset_file,process_count,resource_count,event_count,algorithm,detection_interval,runs,deadlock_detected,actual_deadlock_time,detected_deadlock_time,detection_latency,detection_frequency,detection_time_seconds,detection_overhead_seconds,max_wait_for_edges
small,small/small_random_4p_case02.csv,4.000,16.000,23.000,bfs,1,5,True,12.000,12.000,0.000,23.000,0.000000352,0.000008087,7.000
small,small/small_random_4p_case02.csv,4.000,16.000,23.000,bfs,2,5,True,12.000,13.000,1.000,12.000,0.000000294,0.000003532,7.000
small,small/small_random_4p_case02.csv,4.000,16.000,23.000,bfs,5,5,True,12.000,14.000,2.000,5.000,0.000000308,0.000001541,7.000
small,small/small_random_4p_case02.csv,4.000,16.000,23.000,bfs,10,5,True,12.000,19.000,7.000,3.000,0.000000490,0.000001471,7.000
small,small/small_random_4p_case02.csv,4.000,16.000,23.000,dfs,1,5,True,12.000,12.000,0.000,23.000,0.000000266,0.000006115,7.000
small,small/small_random_4p_case02.csv,4.000,16.000,23.000,dfs,2,5,True,12.000,13.000,1.000,12.000,0.000000259,0.000003102,7.000
small,small/small_random_4p_case02.csv,4.000,16.000,23.000,dfs,5,5,True,12.000,14.000,2.000,5.000,0.000000260,0.000001299,7.000
small,small/small_random_4p_case02.csv,4.000,16.000,23.000,dfs,10,5,True,12.000,19.000,7.000,3.000,0.000000254,0.000000761,7.000
small,small/small_random_5p.csv,5.000,14.000,22.000,bfs,1,5,True,12.000,12.000,0.000,22.000,0.000000371,0.000008151,8.000
small,small/small_random_5p.csv,5.000,14.000,22.000,bfs,2,5,True,12.000,13.000,1.000,11.000,0.000000344,0.000003784,8.000
small,small/small_random_5p.csv,5.000,14.000,22.000,bfs,5,5,True,12.000,14.000,2.000,5.000,0.000000374,0.000001872,8.000
small,small/small_random_5p.csv,5.000,14.000,22.000,bfs,10,5,True,12.000,19.000,7.000,3.000,0.000000385,0.000001155,8.000
small,small/small_random_5p.csv,5.000,14.000,22.000,dfs,1,5,True,12.000,12.000,0.000,22.000,0.000000259,0.000005701,8.000
small,small/small_random_5p.csv,5.000,14.000,22.000,dfs,2,5,True,12.000,13.000,1.000,11.000,0.000000253,0.000002785,8.000
small,small/small_random_5p.csv,5.000,14.000,22.000,dfs,5,5,True,12.000,14.000,2.000,5.000,0.000000247,0.000001235,8.000
small,small/small_random_5p.csv,5.000,14.000,22.000,dfs,10,5,True,12.000,19.000,7.000,3.000,0.000000247,0.000000742,8.000
small,small/small_random_5p_case03.csv,5.000,22.000,27.000,bfs,1,5,True,16.000,16.000,0.000,27.000,0.000000330,0.000008903,5.000
small,small/small_random_5p_case03.csv,5.000,22.000,27.000,bfs,2,5,True,16.000,17.000,1.000,14.000,0.000000316,0.000004424,5.000
small,small/small_random_5p_case03.csv,5.000,22.000,27.000,bfs,5,5,True,16.000,19.000,3.000,6.000,0.000000382,0.000002290,5.000
small,small/small_random_5p_case03.csv,5.000,22.000,27.000,bfs,10,5,True,16.000,19.000,3.000,3.000,0.000000365,0.000001095,5.000
small,small/small_random_5p_case03.csv,5.000,22.000,27.000,dfs,1,5,True,16.000,16.000,0.000,27.000,0.000000244,0.000006581,5.000
small,small/small_random_5p_case03.csv,5.000,22.000,27.000,dfs,2,5,True,16.000,17.000,1.000,14.000,0.000000239,0.000003352,5.000
small,small/small_random_5p_case03.csv,5.000,22.000,27.000,dfs,5,5,True,16.000,19.000,3.000,6.000,0.000000238,0.000001425,5.000
small,small/small_random_5p_case03.csv,5.000,22.000,27.000,dfs,10,5,True,16.000,19.000,3.000,3.000,0.000000239,0.000000718,5.000
small,small/small_random_5p_case04.csv,5.000,20.000,27.000,bfs,1,5,True,16.000,16.000,0.000,27.000,0.000000408,0.000011020,7.000
small,small/small_random_5p_case04.csv,5.000,20.000,27.000,bfs,2,5,True,16.000,17.000,1.000,14.000,0.000000330,0.000004614,7.000
small,small/small_random_5p_case04.csv,5.000,20.000,27.000,bfs,5,5,True,16.000,19.000,3.000,6.000,0.000000342,0.000002052,7.000
small,small/small_random_5p_case04.csv,5.000,20.000,27.000,bfs,10,5,True,16.000,19.000,3.000,3.000,0.000000378,0.000001134,7.000
small,small/small_random_5p_case04.csv,5.000,20.000,27.000,dfs,1,5,True,16.000,16.000,0.000,27.000,0.000000322,0.000008689,7.000
small,small/small_random_5p_case04.csv,5.000,20.000,27.000,dfs,2,5,True,16.000,17.000,1.000,14.000,0.000000320,0.000004476,7.000
small,small/small_random_5p_case04.csv,5.000,20.000,27.000,dfs,5,5,True,16.000,19.000,3.000,6.000,0.000000375,0.000002251,7.000
small,small/small_random_5p_case04.csv,5.000,20.000,27.000,dfs,10,5,True,16.000,19.000,3.000,3.000,0.000000386,0.000001158,7.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,bfs,1,5,True,16.000,16.000,0.000,27.000,0.000000338,0.000009135,5.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,bfs,2,5,True,16.000,17.000,1.000,14.000,0.000000329,0.000004605,5.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,bfs,5,5,True,16.000,19.000,3.000,6.000,0.000000341,0.000002044,5.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,bfs,10,5,True,16.000,19.000,3.000,3.000,0.000000373,0.000001120,5.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,dfs,1,5,True,16.000,16.000,0.000,27.000,0.000000253,0.000006841,5.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,dfs,2,5,True,16.000,17.000,1.000,14.000,0.000000252,0.000003530,5.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,dfs,5,5,True,16.000,19.000,3.000,6.000,0.000000416,0.000002498,5.000
small,small/small_random_5p_case05.csv,5.000,22.000,27.000,dfs,10,5,True,16.000,19.000,3.000,3.000,0.000000246,0.000000738,5.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,bfs,1,5,True,26.000,26.000,0.000,38.000,0.000000911,0.000034619,15.000
medium,medium/medium_random_12p.csv,12.000,23.000,38.000,bfs,2,5,True,26.000,27.000,1.000,19.000,0.000000893,0.000016968,15.000
