dataset,events,detector,detection_interval,detection_frequency,avg_detection_time_seconds,total_detection_time_seconds,detection_overhead_seconds,first_actual_deadlock_time,first_detected_deadlock_time,detection_latency,deadlock_detected,cycle,cycle_length,avg_wait_for_nodes,avg_wait_for_edges,max_wait_for_nodes,max_wait_for_edges
small_deadlock.csv,10,dfs,1,10,5.170004442334175e-06,5.170004442334175e-05,5.170004442334175e-05,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,dfs,2,5,3.9800303056836125e-06,1.9900151528418064e-05,1.9900151528418064e-05,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,dfs,5,2,4.500034265220165e-06,9.00006853044033e-06,9.00006853044033e-06,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,dfs,10,1,5.900044925510883e-06,5.900044925510883e-06,5.900044925510883e-06,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,dfs,20,1,5.400041118264198e-06,5.400041118264198e-06,5.400041118264198e-06,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,dfs,50,1,5.300040356814861e-06,5.300040356814861e-06,5.300040356814861e-06,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,bfs,1,10,8.430005982518196e-06,8.430005982518196e-05,8.430005982518196e-05,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,bfs,2,5,6.739958189427853e-06,3.369979094713926e-05,3.369979094713926e-05,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,bfs,5,2,8.600065484642982e-06,1.7200130969285965e-05,1.7200130969285965e-05,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,bfs,10,1,1.379998866468668e-05,1.379998866468668e-05,1.379998866468668e-05,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,bfs,20,1,1.5400000847876072e-05,1.5400000847876072e-05,1.5400000847876072e-05,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
small_deadlock.csv,10,bfs,50,1,1.3599987141788006e-05,1.3599987141788006e-05,1.3599987141788006e-05,9,9,0,True,P1 -> P2 -> P3 -> P4 -> P5 -> P1,5,1.9,1.5,5,5
large_deadlock.csv,200,dfs,1,200,9.766508592292666e-06,0.0019533017184585333,0.0019533017184585333,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,dfs,2,100,8.455005008727312e-06,0.0008455005008727312,0.0008455005008727312,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,dfs,5,40,8.469997555948795e-06,0.00033879990223795176,0.00033879990223795176,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,dfs,10,20,8.705019718036056e-06,0.0001741003943607211,0.0001741003943607211,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,dfs,20,10,9.810004848986864e-06,9.810004848986864e-05,9.810004848986864e-05,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,dfs,50,4,9.1749825514853e-06,3.66999302059412e-05,3.66999302059412e-05,39,49,10,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,bfs,1,200,4.597700259182602e-05,0.009195400518365204,0.009195400518365204,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,bfs,2,100,3.844299935735762e-05,0.003844299935735762,0.0038442999357357617,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,bfs,5,40,7.829999667592346e-05,0.0031319998670369387,0.0031319998670369387,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,bfs,10,20,4.493998712860048e-05,0.0008987997425720096,0.0008987997425720096,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,bfs,20,10,4.793999250978232e-05,0.00047939992509782314,0.00047939992509782314,39,39,0,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
large_deadlock.csv,200,bfs,50,4,5.2525021601468325e-05,0.0002101000864058733,0.0002101000864058733,39,49,10,True,P1 -> P18 -> P1,2,17.145,71.235,20,145
