timestamp,thread_id,thread_type,action,target_resource,resource_type,duration_ms,timeout_threshold
0,P1,WORKER,LOCK,R1,Mutex,null,null
10,P2,WORKER,LOCK,R2,Mutex,null,null
20,P3,WORKER,LOCK,R3,Mutex,null,null
30,P4,WORKER,LOCK,R4,Mutex,null,null
40,P5,WORKER,LOCK,R5,Mutex,null,null
50,P1,WORKER,LOCK,R2,Mutex,null,null
60,P2,WORKER,LOCK,R3,Mutex,null,null
70,P3,WORKER,LOCK,R4,Mutex,null,null
80,P4,WORKER,LOCK,R5,Mutex,null,null
90,P5,WORKER,LOCK,R1,Mutex,null,null
100,P4,UI,LOCK,R5,Mutex,50,null
114,P2,WORKER,LOCK,R7,Mutex,100,5000
132,P4,UI,LOCK,R5,Mutex,500,5000
143,P5,WORKER,LOCK,R6,Mutex,50,5000
152,P4,UI,LOCK,R7,Message_Queue,100,null
157,P3,UI,LOCK,R3,Mutex,100,null
167,P2,UI,LOCK,R4,Mutex,null,5000
177,P2,WORKER,LOCK,R8,Mutex,null,null
188,P1,UI,LOCK,R8,Message_Queue,50,5000
202,P3,UI,LOCK,R7,Mutex,null,null
220,P1,UI,LOCK,R5,Mutex,500,null
231,P4,UI,LOCK,R3,Mutex,50,5000
232,P5,WORKER,LOCK,R4,Message_Queue,null,null
243,P3,WORKER,LOCK,R5,Message_Queue,100,null
245,P1,WORKER,LOCK,R5,Mutex,50,5000
246,P5,WORKER,LOCK,R3,Mutex,null,5000
262,P1,UI,LOCK,R1,Message_Queue,50,null
274,P2,UI,LOCK,R2,Mutex,null,5000
282,P2,UI,LOCK,R4,Mutex,100,null
291,P3,WORKER,LOCK,R1,Mutex,500,null
297,P4,WORKER,LOCK,R6,Mutex,500,null
314,P3,WORKER,LOCK,R6,Mutex,50,5000
320,P5,WORKER,LOCK,R8,Message_Queue,100,5000
329,P4,WORKER,LOCK,R4,Mutex,null,null
344,P4,WORKER,LOCK,R5,Message_Queue,null,5000
350,P3,UI,LOCK,R3,Message_Queue,100,5000
363,P3,WORKER,LOCK,R5,Message_Queue,50,5000
377,P2,WORKER,LOCK,R4,Message_Queue,null,null
381,P5,WORKER,LOCK,R6,Message_Queue,null,5000
383,P1,WORKER,LOCK,R4,Message_Queue,100,null
385,P1,WORKER,LOCK,R5,Mutex,null,5000
389,P5,WORKER,LOCK,R8,Message_Queue,null,null
401,P2,WORKER,LOCK,R5,Mutex,100,null
403,P4,WORKER,LOCK,R3,Mutex,50,null
408,P1,UI,LOCK,R6,Mutex,500,null
412,P5,UI,LOCK,R3,Mutex,50,null
431,P3,UI,LOCK,R4,Message_Queue,50,5000
446,P5,WORKER,LOCK,R1,Mutex,null,null
449,P1,WORKER,LOCK,R1,Mutex,null,null
466,P2,UI,LOCK,R3,Mutex,null,null
484,P1,UI,LOCK,R4,Mutex,100,5000
491,P2,UI,LOCK,R5,Mutex,50,null
509,P2,UI,LOCK,R6,Mutex,100,5000
512,P5,WORKER,LOCK,R1,Mutex,50,null
521,P3,UI,LOCK,R1,Mutex,100,5000
535,P4,UI,LOCK,R1,Message_Queue,null,null
547,P1,WORKER,LOCK,R2,Mutex,null,null
551,P5,UI,LOCK,R8,Message_Queue,100,5000
564,P3,UI,LOCK,R2,Mutex,500,5000
573,P1,WORKER,LOCK,R8,Message_Queue,500,null
581,P5,WORKER,LOCK,R1,Mutex,null,5000
589,P1,UI,LOCK,R6,Message_Queue,50,5000
608,P2,UI,LOCK,R5,Mutex,500,null
616,P1,WORKER,LOCK,R8,Message_Queue,50,5000
633,P2,WORKER,LOCK,R3,Mutex,500,null
646,P2,WORKER,LOCK,R6,Mutex,50,null
648,P2,WORKER,LOCK,R6,Mutex,50,5000
659,P5,UI,LOCK,R1,Mutex,100,5000
671,P1,WORKER,LOCK,R2,Message_Queue,null,5000
680,P3,UI,LOCK,R4,Mutex,100,null
694,P5,WORKER,LOCK,R1,Mutex,50,5000
714,P5,UI,LOCK,R3,Message_Queue,100,5000
724,P1,UI,LOCK,R2,Message_Queue,500,null
743,P2,WORKER,LOCK,R4,Mutex,500,null
753,P1,WORKER,LOCK,R6,Mutex,100,null
768,P2,UI,LOCK,R2,Message_Queue,null,null
786,P2,UI,LOCK,R8,Mutex,50,5000
791,P5,WORKER,LOCK,R5,Message_Queue,100,null
794,P4,UI,LOCK,R5,Mutex,null,null
810,P1,WORKER,LOCK,R7,Message_Queue,500,null
816,P3,WORKER,LOCK,R3,Message_Queue,500,null
836,P4,WORKER,LOCK,R3,Mutex,50,5000
837,P1,UI,LOCK,R1,Mutex,100,5000
843,P3,UI,LOCK,R2,Mutex,100,5000
853,P4,UI,LOCK,R6,Mutex,50,null
866,P1,WORKER,LOCK,R7,Message_Queue,500,5000
883,P2,WORKER,LOCK,R1,Message_Queue,100,5000
895,P4,UI,LOCK,R4,Message_Queue,100,5000
897,P3,UI,LOCK,R7,Message_Queue,100,5000
902,P4,WORKER,LOCK,R6,Message_Queue,500,5000
920,P5,WORKER,LOCK,R4,Message_Queue,100,null
931,P5,UI,LOCK,R3,Mutex,500,5000
939,P2,WORKER,LOCK,R2,Mutex,100,5000
946,P3,UI,LOCK,R6,Mutex,50,null
949,P3,UI,LOCK,R2,Mutex,null,5000
958,P5,WORKER,LOCK,R6,Mutex,100,null
970,P4,UI,LOCK,R6,Mutex,null,5000
988,P3,UI,LOCK,R7,Mutex,null,5000
994,P4,WORKER,LOCK,R5,Mutex,50,5000
1006,P1,UI,LOCK,R8,Mutex,100,5000
1025,P5,UI,LOCK,R8,Message_Queue,50,null
1039,P1,UI,LOCK,R2,Message_Queue,500,null
1047,P5,WORKER,LOCK,R4,Message_Queue,500,5000
1067,P1,WORKER,LOCK,R6,Mutex,500,5000
1071,P5,WORKER,LOCK,R5,Message_Queue,500,null
1079,P4,UI,LOCK,R8,Mutex,100,null
1081,P3,UI,LOCK,R1,Message_Queue,50,null
1088,P2,WORKER,LOCK,R5,Message_Queue,100,5000
1106,P5,UI,LOCK,R2,Message_Queue,100,5000
1115,P5,UI,LOCK,R6,Message_Queue,100,null
1133,P4,WORKER,LOCK,R3,Mutex,100,5000
1141,P1,UI,LOCK,R8,Mutex,50,null
1144,P4,UI,LOCK,R8,Message_Queue,500,null
1150,P4,WORKER,LOCK,R5,Mutex,100,5000
1161,P1,UI,LOCK,R3,Mutex,50,5000
1175,P1,UI,LOCK,R4,Message_Queue,50,null
1181,P4,WORKER,LOCK,R8,Message_Queue,500,5000
1183,P5,UI,LOCK,R8,Mutex,100,5000
1195,P4,UI,LOCK,R4,Mutex,50,5000
1203,P4,UI,LOCK,R8,Mutex,100,5000
1214,P2,UI,LOCK,R3,Mutex,100,5000
1234,P5,UI,LOCK,R5,Mutex,100,null
1244,P2,UI,LOCK,R4,Mutex,100,null
1245,P4,WORKER,LOCK,R7,Message_Queue,null,null
1260,P3,UI,LOCK,R3,Message_Queue,50,5000
1269,P3,UI,LOCK,R3,Mutex,null,5000
1288,P3,WORKER,LOCK,R4,Mutex,50,null
1290,P4,UI,LOCK,R8,Mutex,null,5000
1309,P4,UI,LOCK,R6,Message_Queue,null,null
1320,P4,UI,LOCK,R7,Mutex,100,null
1325,P5,WORKER,LOCK,R5,Mutex,100,null
1338,P5,WORKER,LOCK,R6,Mutex,500,5000
1344,P5,UI,LOCK,R3,Message_Queue,50,null
1361,P1,UI,LOCK,R6,Message_Queue,null,null
1379,P5,WORKER,LOCK,R3,Message_Queue,50,5000
1385,P1,WORKER,LOCK,R6,Mutex,100,5000
1403,P1,WORKER,LOCK,R2,Message_Queue,50,5000
1418,P3,WORKER,LOCK,R6,Mutex,100,5000
1435,P1,WORKER,LOCK,R4,Mutex,50,5000
1445,P3,WORKER,LOCK,R2,Message_Queue,null,null
1457,P1,WORKER,LOCK,R7,Mutex,100,5000
1467,P3,UI,LOCK,R4,Mutex,100,null
1473,P5,WORKER,LOCK,R8,Message_Queue,50,5000
1485,P2,UI,LOCK,R1,Message_Queue,100,null
1498,P3,WORKER,LOCK,R2,Message_Queue,50,null
1516,P2,UI,LOCK,R8,Message_Queue,500,null
1533,P5,UI,LOCK,R7,Message_Queue,500,null
1552,P1,WORKER,LOCK,R7,Message_Queue,null,5000
1570,P1,UI,LOCK,R1,Mutex,500,5000
1575,P2,UI,LOCK,R4,Mutex,100,5000
1591,P4,WORKER,LOCK,R4,Message_Queue,100,5000
1611,P4,UI,LOCK,R1,Mutex,null,null
1616,P2,UI,LOCK,R4,Mutex,null,5000
1627,P2,UI,LOCK,R7,Message_Queue,50,null
1641,P2,UI,LOCK,R2,Message_Queue,500,null
1655,P5,WORKER,LOCK,R6,Mutex,500,null
1672,P2,WORKER,LOCK,R6,Mutex,null,5000
1682,P5,WORKER,LOCK,R1,Mutex,50,null
1695,P1,UI,LOCK,R3,Mutex,null,null
1697,P4,UI,LOCK,R3,Message_Queue,null,5000
1717,P4,WORKER,LOCK,R6,Message_Queue,500,null
1735,P1,UI,LOCK,R5,Mutex,null,5000
1749,P1,WORKER,LOCK,R4,Message_Queue,null,5000
1752,P5,WORKER,LOCK,R4,Mutex,500,null
1760,P5,WORKER,LOCK,R6,Message_Queue,null,5000
1765,P4,WORKER,LOCK,R7,Mutex,500,5000
1780,P2,WORKER,LOCK,R4,Mutex,50,5000
1781,P1,UI,LOCK,R8,Message_Queue,500,null
1797,P5,WORKER,LOCK,R2,Message_Queue,50,null
1802,P1,UI,LOCK,R5,Mutex,null,5000
1811,P5,WORKER,LOCK,R1,Message_Queue,50,5000
1828,P5,UI,LOCK,R1,Mutex,500,5000
1846,P2,UI,LOCK,R4,Message_Queue,100,null
1866,P3,UI,LOCK,R3,Message_Queue,500,null
1880,P4,UI,LOCK,R6,Mutex,50,null
1887,P5,UI,LOCK,R5,Message_Queue,50,5000
1898,P5,WORKER,LOCK,R6,Message_Queue,null,null
1910,P5,WORKER,LOCK,R5,Mutex,100,5000
1924,P3,UI,LOCK,R3,Message_Queue,50,5000
1944,P4,UI,LOCK,R5,Mutex,100,null
1960,P2,UI,LOCK,R4,Message_Queue,50,null
1966,P2,UI,LOCK,R7,Mutex,100,null
1983,P3,WORKER,LOCK,R8,Message_Queue,50,null
1995,P2,WORKER,LOCK,R4,Mutex,500,null
1997,P2,WORKER,LOCK,R8,Mutex,50,null
2016,P5,WORKER,LOCK,R5,Mutex,null,5000
2023,P5,WORKER,LOCK,R8,Message_Queue,100,null
2024,P1,WORKER,LOCK,R6,Mutex,500,null
2025,P5,UI,LOCK,R7,Message_Queue,50,null
2038,P4,WORKER,LOCK,R6,Message_Queue,100,5000
2041,P5,WORKER,LOCK,R2,Message_Queue,50,null
2050,P3,UI,LOCK,R6,Mutex,500,5000
2063,P1,WORKER,LOCK,R7,Mutex,500,null
2082,P1,WORKER,LOCK,R5,Message_Queue,100,null
2092,P2,WORKER,LOCK,R2,Mutex,500,null
2095,P4,UI,LOCK,R3,Message_Queue,500,null
2113,P1,UI,LOCK,R6,Mutex,null,5000
2115,P5,UI,LOCK,R5,Mutex,null,5000
2130,P1,WORKER,LOCK,R3,Message_Queue,500,null
2147,P5,UI,LOCK,R1,Mutex,null,null
