dataset_group,dataset_file,process_count,resource_count,event_count,algorithm,detection_interval,runs,deadlock_detected,actual_deadlock_time,detected_deadlock_time,detection_latency,detection_frequency,detection_time_seconds,detection_overhead_seconds,max_wait_for_edges
small,GROUP_AVERAGE,4.800,18.800,25.200,bfs,1,25,True,14.400,14.400,0.000,25.200,0.000000220,0.000005565,6.400
small,GROUP_AVERAGE,4.800,18.800,25.200,bfs,2,25,True,14.400,15.400,1.000,13.000,0.000000138,0.000001730,6.400
small,GROUP_AVERAGE,4.800,18.800,25.200,bfs,5,25,True,14.400,17.000,2.600,5.600,0.000000127,0.000000698,6.400
small,GROUP_AVERAGE,4.800,18.800,25.200,bfs,10,25,True,14.400,19.000,4.600,3.000,0.000000125,0.000000374,6.400
small,GROUP_AVERAGE,4.800,18.800,25.200,dfs,1,25,True,14.400,14.400,0.000,25.200,0.000000154,0.000003811,6.400
small,GROUP_AVERAGE,4.800,18.800,25.200,dfs,2,25,True,14.400,15.400,1.000,13.000,0.000000141,0.000001786,6.400
small,GROUP_AVERAGE,4.800,18.800,25.200,dfs,5,25,True,14.400,17.000,2.600,5.600,0.000000140,0.000000770,6.400
small,GROUP_AVERAGE,4.800,18.800,25.200,dfs,10,25,True,14.400,19.000,4.600,3.000,0.000000142,0.000000425,6.400
medium,GROUP_AVERAGE,13.800,29.800,44.000,bfs,1,25,True,31.200,31.200,0.000,44.000,0.000000329,0.000014796,14.200
medium,GROUP_AVERAGE,13.800,29.800,44.000,bfs,2,25,True,31.200,32.200,1.000,22.400,0.000000305,0.000006975,14.200
medium,GROUP_AVERAGE,13.800,29.800,44.000,bfs,5,25,True,31.200,34.000,2.800,9.000,0.000000308,0.000002821,14.200
medium,GROUP_AVERAGE,13.800,29.800,44.000,bfs,10,25,True,31.200,35.000,3.800,4.600,0.000000312,0.000001476,14.200
medium,GROUP_AVERAGE,13.800,29.800,44.000,dfs,1,25,True,31.200,31.200,0.000,44.000,0.000000216,0.000009630,14.200
medium,GROUP_AVERAGE,13.800,29.800,44.000,dfs,2,25,True,31.200,32.200,1.000,22.400,0.000000209,0.000004752,14.200
medium,GROUP_AVERAGE,13.800,29.800,44.000,dfs,5,25,True,31.200,34.000,2.800,9.000,0.000000208,0.000001895,14.200
medium,GROUP_AVERAGE,13.800,29.800,44.000,dfs,10,25,True,31.200,35.000,3.800,4.600,0.000000208,0.000000976,14.200
large,GROUP_AVERAGE,28.000,46.000,69.200,bfs,1,25,True,53.600,53.600,0.000,69.200,0.000001046,0.000074127,23.200
large,GROUP_AVERAGE,28.000,46.000,69.200,bfs,2,25,True,53.600,54.600,1.000,35.000,0.000000992,0.000035336,23.200
large,GROUP_AVERAGE,28.000,46.000,69.200,bfs,5,25,True,53.600,56.000,2.400,14.400,0.000001160,0.000017064,23.200
large,GROUP_AVERAGE,28.000,46.000,69.200,bfs,10,25,True,53.600,57.000,3.400,7.600,0.000001093,0.000008429,23.200
large,GROUP_AVERAGE,28.000,46.000,69.200,dfs,1,25,True,53.600,53.600,0.000,69.200,0.000000514,0.000035803,23.200
large,GROUP_AVERAGE,28.000,46.000,69.200,dfs,2,25,True,53.600,54.600,1.000,35.000,0.000000478,0.000016932,23.200
large,GROUP_AVERAGE,28.000,46.000,69.200,dfs,5,25,True,53.600,56.000,2.400,14.400,0.000000464,0.000006767,23.200
large,GROUP_AVERAGE,28.000,46.000,69.200,dfs,10,25,True,53.600,57.000,3.400,7.600,0.000000448,0.000003440,23.200
very_large,GROUP_AVERAGE,45.000,66.200,101.200,bfs,1,25,True,83.200,83.200,0.000,101.200,0.000002920,0.000298578,35.000
very_large,GROUP_AVERAGE,45.000,66.200,101.200,bfs,2,25,True,83.200,84.200,1.000,51.000,0.000002993,0.000153429,35.000
very_large,GROUP_AVERAGE,45.000,66.200,101.200,bfs,5,25,True,83.200,86.000,2.800,20.600,0.000002709,0.000056258,35.000
very_large,GROUP_AVERAGE,45.000,66.200,101.200,bfs,10,25,True,83.200,89.000,5.800,10.600,0.000003089,0.000033259,35.000
very_large,GROUP_AVERAGE,45.000,66.200,101.200,dfs,1,25,True,83.200,83.200,0.000,101.200,0.000001268,0.000129480,35.000
very_large,GROUP_AVERAGE,45.000,66.200,101.200,dfs,2,25,True,83.200,84.200,1.000,51.000,0.000001145,0.000058680,35.000
very_large,GROUP_AVERAGE,45.000,66.200,101.200,dfs,5,25,True,83.200,86.000,2.800,20.600,0.000001166,0.000024049,35.000
very_large,GROUP_AVERAGE,45.000,66.200,101.200,dfs,10,25,True,83.200,89.000,5.800,10.600,0.000001082,0.000011506,35.000
